year,month,category,target_orders,target_revenue
2024,3,Mỹ phẩm & Làm đẹp,4321,16707000000
2024,3,Nhà thông minh,5044,14173000000
2024,3,Phụ kiện công nghệ,7010,23056000000
2024,3,Thời trang nam,4348,12717000000
2024,3,Thời trang nữ,4269,21391000000
2024,4,Âm thanh & Tai nghe,9580,89588000000
2024,4,Camera & Quay phim,3434,72523000000
2024,4,Điện thoại & Phụ kiện,105105,4942485000000
2024,4,Đồng hồ thông minh,4868,80575000000
2024,4,Gia dụng thông minh,4822,48593000000
2024,4,Laptop & Máy tính,56858,3776190000000
2024,4,Máy tính bảng,3981,92155000000
2024,4,Mỹ phẩm & Làm đẹp,3921,14888000000
2024,4,Nhà thông minh,4949,13906000000
2024,4,Phụ kiện công nghệ,6946,22297000000
2024,4,Thời trang nam,4073,11500000000
2024,4,Thời trang nữ,3821,18652000000
2024,5,Âm thanh & Tai nghe,8986,83777000000
2024,5,Camera & Quay phim,3604,81200000000
2024,5,Điện thoại & Phụ kiện,101243,4790202000000
2024,5,Đồng hồ thông minh,4456,74943000000
2024,5,Gia dụng thông minh,4559,47140000000
2024,5,Laptop & Máy tính,54883,3614214000000
2024,5,Máy tính bảng,4094,105044000000
2024,5,Mỹ phẩm & Làm đẹp,3597,13993000000
2024,5,Nhà thông minh,4533,12763000000
2024,5,Phụ kiện công nghệ,6776,22035000000
2024,5,Thời trang nam,3675,10446000000
2024,5,Thời trang nữ,3890,19891000000
2024,6,Âm thanh & Tai nghe,7368,67022000000
2024,6,Camera & Quay phim,2832,60253000000
2024,6,Điện thoại & Phụ kiện,81183,3745184000000
2024,6,Đồng hồ thông minh,3833,63063000000
2024,6,Gia dụng thông minh,3780,37850000000
2024,6,Laptop & Máy tính,45074,2912367000000
2024,6,Máy tính bảng,3802,97047000000
2024,6,Mỹ phẩm & Làm đẹp,2818,10827000000
2024,6,Nhà thông minh,3663,10396000000
2024,6,Phụ kiện công nghệ,4939,15680000000
2024,6,Thời trang nam,2948,8235000000
2024,6,Thời trang nữ,2759,13907000000
2024,7,Âm thanh & Tai nghe,6489,61125000000
2024,7,Camera & Quay phim,3319,80118000000
2024,7,Điện thoại & Phụ kiện,69939,3287966000000
2024,7,Đồng hồ thông minh,3378,57099000000
2024,7,Gia dụng thông minh,3362,33856000000
2024,7,Laptop & Máy tính,39896,2595245000000
2024,7,Máy tính bảng,3401,90294000000
2024,7,Mỹ phẩm & Làm đẹp,2808,10637000000
2024,7,Nhà thông minh,3368,9472000000
2024,7,Phụ kiện công nghệ,4760,15333000000
2024,7,Thời trang nam,2573,7326000000
2024,7,Thời trang nữ,2567,13380000000
2024,8,Âm thanh & Tai nghe,7356,61928000000
2024,8,Camera & Quay phim,3607,86300000000
2024,8,Điện thoại & Phụ kiện,76035,3427934000000
2024,8,Đồng hồ thông minh,3657,56441000000
2024,8,Gia dụng thông minh,3366,31039000000
2024,8,Laptop & Máy tính,42728,2663608000000
2024,8,Máy tính bảng,3475,90102000000
2024,8,Mỹ phẩm & Làm đẹp,3021,10188000000
2024,8,Nhà thông minh,3292,8087000000
2024,8,Phụ kiện công nghệ,5185,14564000000
2024,8,Thời trang nam,2718,7109000000
2024,8,Thời trang nữ,2713,11749000000
2024,9,Âm thanh & Tai nghe,10106,86178000000
2024,9,Camera & Quay phim,5203,123309000000
2024,9,Điện thoại & Phụ kiện,106678,4762228000000
2024,9,Đồng hồ thông minh,4888,75576000000
2024,9,Gia dụng thông minh,5271,47872000000
2024,9,Laptop & Máy tính,60187,3736264000000
2024,9,Máy tính bảng,5322,132775000000
2024,9,Mỹ phẩm & Làm đẹp,4188,14616000000
2024,9,Nhà thông minh,5022,12677000000
2024,9,Phụ kiện công nghệ,7225,21065000000
2024,9,Thời trang nam,4074,10547000000
2024,9,Thời trang nữ,4233,19451000000
2024,10,Âm thanh & Tai nghe,10383,88045000000
2024,10,Camera & Quay phim,5449,126609000000
2024,10,Điện thoại & Phụ kiện,113622,4928136000000
2024,10,Đồng hồ thông minh,5356,81766000000
2024,10,Gia dụng thông minh,5510,49870000000
2024,10,Laptop & Máy tính,63949,3912078000000
2024,10,Máy tính bảng,5349,131148000000
2024,10,Mỹ phẩm & Làm đẹp,4359,15104000000
2024,10,Nhà thông minh,5181,13070000000
2024,10,Phụ kiện công nghệ,7691,22183000000
2024,10,Thời trang nam,4528,11741000000
2024,10,Thời trang nữ,4475,20639000000
2024,11,Âm thanh & Tai nghe,18486,156490000000
2024,11,Camera & Quay phim,9451,211520000000
2024,11,Điện thoại & Phụ kiện,204556,8854806000000
2024,11,Đồng hồ thông minh,10363,154939000000
2024,11,Gia dụng thông minh,10139,93460000000
2024,11,Laptop & Máy tính,121120,7213504000000
2024,11,Máy tính bảng,9639,240727000000
2024,11,Mỹ phẩm & Làm đẹp,7469,26029000000
2024,11,Nhà thông minh,10020,25389000000
2024,11,Phụ kiện công nghệ,13864,40206000000
2024,11,Thời trang nam,7900,20541000000
2024,11,Thời trang nữ,8142,37384000000
2024,12,Âm thanh & Tai nghe,26324,220912000000
2024,12,Camera & Quay phim,12894,288073000000
2024,12,Điện thoại & Phụ kiện,291180,12444148000000
2024,12,Đồng hồ thông minh,12959,192267000000
2024,12,Gia dụng thông minh,13521,122567000000
2024,12,Laptop & Máy tính,165228,9777040000000
2024,12,Máy tính bảng,12825,309688000000
2024,12,Mỹ phẩm & Làm đẹp,10141,34869000000
2024,12,Nhà thông minh,12626,31510000000
2024,12,Phụ kiện công nghệ,18426,53042000000
2024,12,Thời trang nam,10309,26638000000
2024,12,Thời trang nữ,10718,47915000000
2025,1,Âm thanh & Tai nghe,6314,53383000000
2025,1,Camera & Quay phim,3087,69512000000
2025,1,Điện thoại & Phụ kiện,68738,2980686000000
2025,1,Đồng hồ thông minh,3105,46312000000
2025,1,Gia dụng thông minh,3180,28877000000
2025,1,Laptop & Máy tính,39470,2354819000000
2025,1,Máy tính bảng,3245,77667000000
2025,1,Mỹ phẩm & Làm đẹp,2475,8763000000
2025,1,Nhà thông minh,3167,8088000000
2025,1,Phụ kiện công nghệ,4328,12484000000
2025,1,Thời trang nam,2447,6435000000
2025,1,Thời trang nữ,2726,12128000000
2025,2,Âm thanh & Tai nghe,6005,48775000000
2025,2,Camera & Quay phim,2904,63324000000
2025,2,Điện thoại & Phụ kiện,66209,2771628000000
2025,2,Đồng hồ thông minh,2935,43595000000
2025,2,Gia dụng thông minh,2991,26856000000
2025,2,Laptop & Máy tính,34846,2045099000000
2025,2,Máy tính bảng,2862,67775000000
2025,2,Mỹ phẩm & Làm đẹp,2469,8125000000
2025,2,Nhà thông minh,3048,7643000000
2025,2,Phụ kiện công nghệ,4267,12085000000
2025,2,Thời trang nam,2605,6800000000
2025,2,Thời trang nữ,2396,10509000000
2025,3,Âm thanh & Tai nghe,9961,83953000000
2025,3,Camera & Quay phim,5040,113464000000
2025,3,Điện thoại & Phụ kiện,110837,4708639000000
2025,3,Đồng hồ thông minh,5536,82207000000
2025,3,Gia dụng thông minh,5334,49090000000
2025,3,Laptop & Máy tính,65130,3937220000000
2025,3,Máy tính bảng,5584,133198000000
2025,3,Mỹ phẩm & Làm đẹp,4200,14993000000
2025,3,Nhà thông minh,5221,13276000000
2025,3,Phụ kiện công nghệ,7139,21367000000
2025,3,Thời trang nam,4355,11494000000
2025,3,Thời trang nữ,4294,19987000000
2025,4,Âm thanh & Tai nghe,10618,88613000000
2025,4,Camera & Quay phim,5335,113626000000
2025,4,Điện thoại & Phụ kiện,112740,4546625000000
2025,4,Đồng hồ thông minh,5734,83444000000
2025,4,Gia dụng thông minh,5599,51575000000
2025,4,Laptop & Máy tính,67658,3914116000000
2025,4,Máy tính bảng,5625,130384000000
2025,4,Mỹ phẩm & Làm đẹp,4439,15163000000
2025,4,Nhà thông minh,5077,12611000000
2025,4,Phụ kiện công nghệ,7742,22221000000
2025,4,Thời trang nam,4350,11254000000
2025,4,Thời trang nữ,4503,20271000000
2025,5,Âm thanh & Tai nghe,10686,90041000000
2025,5,Camera & Quay phim,5508,116664000000
2025,5,Điện thoại & Phụ kiện,117180,4792857000000
2025,5,Đồng hồ thông minh,5124,76515000000
2025,5,Gia dụng thông minh,5413,50169000000
2025,5,Laptop & Máy tính,61259,3525265000000
2025,5,Máy tính bảng,5426,129043000000
2025,5,Mỹ phẩm & Làm đẹp,4371,15564000000
2025,5,Nhà thông minh,5171,13254000000
2025,5,Phụ kiện công nghệ,7420,21752000000
2025,5,Thời trang nam,4413,11651000000
2025,5,Thời trang nữ,4270,19925000000
2025,6,Âm thanh & Tai nghe,7875,64434000000
2025,6,Camera & Quay phim,3772,76879000000
2025,6,Điện thoại & Phụ kiện,80422,3214915000000
2025,6,Đồng hồ thông minh,3816,54817000000
2025,6,Gia dụng thông minh,3867,35442000000
2025,6,Laptop & Máy tính,48597,2734992000000
2025,6,Máy tính bảng,4034,91080000000
2025,6,Mỹ phẩm & Làm đẹp,2921,10094000000
2025,6,Nhà thông minh,3942,9731000000
2025,6,Phụ kiện công nghệ,5381,15334000000
2025,6,Thời trang nam,3321,8530000000
2025,6,Thời trang nữ,3089,13949000000
