year,month,category,target_qty_in,target_qty_out,target_turnover_rate,target_stockout_rate,target_fill_rate
2024,5,Laptop & Máy tính,68865,93351,0.77,0.03,0.98
2024,5,Máy tính bảng,4940,5742,0.89,0.03,0.97
2024,5,Mỹ phẩm & Làm đẹp,4019,4973,0.94,0.04,0.95
2024,5,Nhà thông minh,4710,6431,0.86,0.05,0.98
2024,5,Phụ kiện công nghệ,6257,8979,0.87,0.02,0.95
2024,5,Thời trang nam,4020,4934,0.78,0.03,0.98
2024,5,Thời trang nữ,3477,5264,0.9,0.03,0.94
2024,6,Âm thanh & Tai nghe,9907,10043,0.93,0.04,0.94
2024,6,Camera & Quay phim,4801,3997,0.8,0.02,0.95
2024,6,Điện thoại & Phụ kiện,162797,163525,0.92,0.05,0.96
2024,6,Đồng hồ thông minh,4963,4915,0.81,0.03,0.97
2024,6,Gia dụng thông minh,4709,4917,0.89,0.02,0.95
2024,6,Laptop & Máy tính,70435,73471,0.93,0.03,0.97
2024,6,Máy tính bảng,4548,4812,0.81,0.05,0.94
2024,6,Mỹ phẩm & Làm đẹp,3645,4051,0.87,0.03,0.94
2024,6,Nhà thông minh,4641,5124,0.86,0.03,0.96
2024,6,Phụ kiện công nghệ,7106,6773,0.85,0.03,0.97
2024,6,Thời trang nam,3599,4011,0.94,0.03,0.97
2024,6,Thời trang nữ,3786,4002,0.75,0.02,0.97
2024,7,Âm thanh & Tai nghe,14176,8899,0.82,0.02,0.97
2024,7,Camera & Quay phim,7092,4302,0.78,0.03,0.95
2024,7,Điện thoại & Phụ kiện,235195,153704,0.86,0.04,0.96
2024,7,Đồng hồ thông minh,7314,4541,0.92,0.05,0.98
2024,7,Gia dụng thông minh,7330,4567,0.77,0.03,0.96
2024,7,Laptop & Máy tính,104504,64613,0.84,0.03,0.95
2024,7,Máy tính bảng,7490,4507,0.91,0.02,0.98
2024,7,Mỹ phẩm & Làm đẹp,5882,3413,0.8,0.03,0.95
2024,7,Nhà thông minh,7179,4573,0.87,0.05,0.97
2024,7,Phụ kiện công nghệ,9603,6282,0.9,0.02,0.96
2024,7,Thời trang nam,5442,3515,0.83,0.02,0.97
2024,7,Thời trang nữ,5580,3497,0.86,0.03,0.98
2024,8,Âm thanh & Tai nghe,15377,9831,0.94,0.03,0.98
2024,8,Camera & Quay phim,7276,4644,0.79,0.03,0.97
2024,8,Điện thoại & Phụ kiện,272392,162539,0.81,0.04,0.99
2024,8,Đồng hồ thông minh,7186,4853,0.87,0.04,0.96
2024,8,Gia dụng thông minh,7025,4687,0.83,0.04,0.98
2024,8,Laptop & Máy tính,107076,69303,0.81,0.03,0.95
2024,8,Máy tính bảng,9787,4704,0.87,0.03,0.98
2024,8,Mỹ phẩm & Làm đẹp,5968,3935,0.76,0.04,0.99
2024,8,Nhà thông minh,7438,4566,0.93,0.03,0.98
2024,8,Phụ kiện công nghệ,11368,6740,0.9,0.03,0.95
2024,8,Thời trang nam,5887,3869,0.82,0.03,0.95
2024,8,Thời trang nữ,5784,3695,0.9,0.02,0.97
2024,9,Âm thanh & Tai nghe,26370,13842,0.79,0.04,0.96
2024,9,Camera & Quay phim,13260,6864,0.84,0.04,0.98
2024,9,Điện thoại & Phụ kiện,497807,237742,0.76,0.04,0.96
2024,9,Đồng hồ thông minh,14029,6597,0.93,0.02,0.95
2024,9,Gia dụng thông minh,13655,6755,0.91,0.03,0.97
2024,9,Laptop & Máy tính,203171,98642,0.85,0.04,0.98
2024,9,Máy tính bảng,11192,7075,0.88,0.02,0.94
2024,9,Mỹ phẩm & Làm đẹp,11078,5394,0.85,0.03,0.96
2024,9,Nhà thông minh,13936,7078,0.89,0.05,0.98
2024,9,Phụ kiện công nghệ,19764,9431,0.87,0.02,0.99
2024,9,Thời trang nam,11166,5462,0.86,0.03,0.96
2024,9,Thời trang nữ,11286,5682,0.78,0.02,0.97
2024,10,Âm thanh & Tai nghe,35182,14980,0.87,0.03,0.95
2024,10,Camera & Quay phim,18190,7409,0.84,0.02,0.95
2024,10,Điện thoại & Phụ kiện,584059,250292,0.82,0.04,0.98
2024,10,Đồng hồ thông minh,17608,7326,0.92,0.04,0.96
2024,10,Gia dụng thông minh,18132,7252,0.86,0.03,0.99
2024,10,Laptop & Máy tính,257190,108562,0.87,0.02,0.94
2024,10,Máy tính bảng,18816,7273,0.84,0.03,0.97
2024,10,Mỹ phẩm & Làm đẹp,14340,5736,0.84,0.03,0.97
2024,10,Nhà thông minh,17589,7321,0.92,0.02,0.97
2024,10,Phụ kiện công nghệ,23903,10187,0.8,0.03,0.94
2024,10,Thời trang nam,13256,5672,0.82,0.05,0.96
2024,10,Thời trang nữ,14766,5621,0.89,0.05,0.95
2024,11,Âm thanh & Tai nghe,9289,26562,0.75,0.02,0.96
2024,11,Camera & Quay phim,5092,12958,0.86,0.04,0.95
2024,11,Điện thoại & Phụ kiện,151673,436038,0.88,0.05,0.95
2024,11,Đồng hồ thông minh,4555,12753,0.77,0.04,0.97
2024,11,Gia dụng thông minh,4782,13358,0.79,0.04,0.99
2024,11,Laptop & Máy tính,69640,195282,0.8,0.03,0.97
2024,11,Máy tính bảng,4266,13108,0.84,0.03,0.98
2024,11,Mỹ phẩm & Làm đẹp,3789,10299,0.94,0.04,0.97
2024,11,Nhà thông minh,5211,13401,0.86,0.03,0.97
2024,11,Phụ kiện công nghệ,6694,18598,0.88,0.03,0.97
2024,11,Thời trang nam,4133,10433,0.79,0.03,0.94
2024,11,Thời trang nữ,3519,10875,0.88,0.03,0.96
2024,12,Âm thanh & Tai nghe,8286,34854,0.79,0.02,0.96
2024,12,Camera & Quay phim,3639,17826,0.86,0.04,0.97
2024,12,Điện thoại & Phụ kiện,138991,580792,0.76,0.03,0.95
2024,12,Đồng hồ thông minh,4227,17770,0.89,0.03,0.98
2024,12,Gia dụng thông minh,3936,17699,0.78,0.05,0.97
2024,12,Laptop & Máy tính,61148,253915,0.86,0.05,0.97
2024,12,Máy tính bảng,4207,17831,0.81,0.04,0.98
2024,12,Mỹ phẩm & Làm đẹp,3179,14087,0.77,0.03,0.96
2024,12,Nhà thông minh,4009,18091,0.93,0.04,0.96
2024,12,Phụ kiện công nghệ,5431,25558,0.77,0.03,0.94
2024,12,Thời trang nam,3143,14027,0.86,0.02,0.96
2024,12,Thời trang nữ,3177,14861,0.84,0.02,0.95
2025,1,Âm thanh & Tai nghe,11351,8319,0.87,0.05,0.96
2025,1,Camera & Quay phim,6424,4320,0.92,0.04,0.99
2025,1,Điện thoại & Phụ kiện,205203,148322,0.78,0.05,0.97
2025,1,Đồng hồ thông minh,5123,4279,0.81,0.02,0.94
2025,1,Gia dụng thông minh,6139,4208,0.92,0.04,0.97
2025,1,Laptop & Máy tính,81656,62957,0.84,0.02,0.96
2025,1,Máy tính bảng,6635,4327,0.91,0.02,0.95
2025,1,Mỹ phẩm & Làm đẹp,5318,3472,0.78,0.03,0.94
2025,1,Nhà thông minh,6001,4470,0.88,0.04,0.98
2025,1,Phụ kiện công nghệ,9326,5778,0.8,0.02,0.96
2025,1,Thời trang nam,5121,3560,0.87,0.05,0.96
2025,1,Thời trang nữ,5002,3638,0.84,0.02,0.96
2025,2,Âm thanh & Tai nghe,14476,8260,0.93,0.05,0.98
2025,2,Camera & Quay phim,5795,4108,0.82,0.03,0.95
2025,2,Điện thoại & Phụ kiện,221977,139108,0.91,0.02,0.98
2025,2,Đồng hồ thông minh,7334,3892,0.77,0.04,0.96
2025,2,Gia dụng thông minh,6512,4006,0.76,0.03,0.95
2025,2,Laptop & Máy tính,103503,58450,0.78,0.04,0.98
2025,2,Máy tính bảng,6748,4112,0.79,0.03,0.98
2025,2,Mỹ phẩm & Làm đẹp,4900,3172,0.86,0.03,0.98
2025,2,Nhà thông minh,6146,3974,0.93,0.04,0.96
2025,2,Phụ kiện công nghệ,8124,5663,0.84,0.03,0.97
2025,2,Thời trang nam,5151,3392,0.92,0.02,0.95
2025,2,Thời trang nữ,4810,3155,0.83,0.04,0.99
2025,3,Âm thanh & Tai nghe,15274,14099,0.85,0.04,0.96
2025,3,Camera & Quay phim,7796,6776,0.88,0.02,0.96
2025,3,Điện thoại & Phụ kiện,247207,242068,0.79,0.03,0.96
2025,3,Đồng hồ thông minh,7460,7262,0.79,0.02,0.99
2025,3,Gia dụng thông minh,7090,6941,0.8,0.03,0.97
2025,3,Laptop & Máy tính,108595,102065,0.78,0.05,0.98
2025,3,Máy tính bảng,6904,7296,0.85,0.04,0.98
2025,3,Mỹ phẩm & Làm đẹp,6107,5572,0.8,0.03,0.97
2025,3,Nhà thông minh,6614,7454,0.92,0.03,0.95
2025,3,Phụ kiện công nghệ,10865,10127,0.79,0.03,0.95
2025,3,Thời trang nam,6203,5842,0.84,0.05,0.98
2025,3,Thời trang nữ,5901,5488,0.84,0.02,0.95
2025,4,Âm thanh & Tai nghe,10190,14934,0.84,0.03,0.97
2025,4,Camera & Quay phim,5081,7133,0.83,0.03,0.97
2025,4,Điện thoại & Phụ kiện,167367,240161,0.88,0.02,0.98
2025,4,Đồng hồ thông minh,5128,7686,0.82,0.05,0.94
2025,4,Gia dụng thông minh,5358,7419,0.8,0.02,0.96
2025,4,Laptop & Máy tính,81686,105692,0.83,0.04,0.98
2025,4,Máy tính bảng,5223,7488,0.88,0.03,0.94
2025,4,Mỹ phẩm & Làm đẹp,4554,5666,0.84,0.03,0.98
2025,4,Nhà thông minh,5183,7265,0.94,0.04,0.94
2025,4,Phụ kiện công nghệ,6996,10326,0.83,0.03,0.98
2025,4,Thời trang nam,4404,5802,0.84,0.03,0.96
2025,4,Thời trang nữ,4325,5874,0.93,0.04,0.96
2025,5,Âm thanh & Tai nghe,11921,13876,0.88,0.02,0.96
2025,5,Camera & Quay phim,6108,7425,0.92,0.04,0.96
2025,5,Điện thoại & Phụ kiện,202024,245384,0.78,0.05,0.98
2025,5,Đồng hồ thông minh,6214,7284,0.8,0.02,0.96
2025,5,Gia dụng thông minh,6194,7007,0.92,0.05,0.99
2025,5,Laptop & Máy tính,90273,105274,0.84,0.03,0.97
2025,5,Máy tính bảng,6223,7003,0.86,0.05,0.97
2025,5,Mỹ phẩm & Làm đẹp,4435,5683,0.82,0.02,0.95
2025,5,Nhà thông minh,5940,7147,0.87,0.05,0.97
2025,5,Phụ kiện công nghệ,8680,9486,0.93,0.03,0.97
2025,5,Thời trang nam,5005,6101,0.79,0.04,0.98
2025,5,Thời trang nữ,4367,5821,0.92,0.05,0.94
2025,6,Âm thanh & Tai nghe,0,10572,0.91,0.04,0.95
2025,6,Camera & Quay phim,0,5181,0.88,0.02,0.94
2025,6,Điện thoại & Phụ kiện,0,181151,0.76,0.02,0.94
2025,6,Đồng hồ thông minh,0,5200,0.91,0.05,0.98
2025,6,Gia dụng thông minh,0,5296,0.78,0.05,0.95
2025,6,Laptop & Máy tính,0,76087,0.89,0.04,0.99
2025,6,Máy tính bảng,0,5204,0.88,0.02,0.98
2025,6,Mỹ phẩm & Làm đẹp,0,4076,0.86,0.05,0.98
2025,6,Nhà thông minh,0,5033,0.89,0.03,0.94
2025,6,Phụ kiện công nghệ,0,7125,0.92,0.03,0.97
2025,6,Thời trang nam,0,4305,0.81,0.04,0.97
2025,6,Thời trang nữ,0,3927,0.88,0.04,0.97
